uen,name
196000175E,"SINGAPORE THONG CHAI MEDICAL INSTITUTION"
200008878C,"SINGAPORE TYLER PRINT INSTITUTE"
200504979Z,"SINGAPORE UNIVERSITY OF SOCIAL SCIENCES"
200913519C,"SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN"
T01SS0015J,"Singapore Weightlifting Federation"
S54SS0010L,"Singapore Women's Association (Persatuan Wanita Singapura)"
S68SS0017F,"SINGAPORE WUSHU DRAGON & LION DANCE FEDERATION"
S61SS0078H,"Singapore Xiangqi General Association (SIXGA)"
201624016E,"SINGHEALTH FUND"
T06CC1996G,"SJI INTERNATIONAL BUILDING AND DEVELOPMENT FUND"
T06CC1997C,"SJI INTERNATIONAL SCHOLARSHIPS AND BURSARIES FUND"
T15CC0002L,"SkillsFuture Jubilee Fund"
201305017E,"SMA CHARITY FUND"
T02CC1573C,"SNEC HEALTH ENDOWMENT FUND"
T02CC1574K,"SNEC HEALTH RESEARCH ENDOWMENT FUND"
200813216C,"SOCIAL CREATIVES LTD."
S68SS0022J,"Society for The Aged Sick"
S61SS0060B,"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE"
T07SS0263K,"SOCIETY FOR WINGS"
T00SS0066C,"Society of Sheng Hong Welfare Services"
T12SS0058C,"SOSD"
201301276N,"SOUTH CENTRAL COMMUNITY FAMILY SERVICE CENTRE LIMITED"
S64SS0052D,"SPD"
200812120W,"SPECIAL NEEDS TRUST COMPANY LIMITED"
S91SS0003B,"Special Olympics, Singapore"
201300697M,"SPECTRA SECONDARY SCHOOL"
200301515E,"SPIRIT OF ENTERPRISE"
S90SS0085G,"Sports Boules Singapore"
S48SS0016D,"Sree Narayana Mission (Singapore)"
T12CC0006B,"SSP Financial Assistance Fund"
S85CC0155K,"ST ANDREW'S CATHEDRAL HOME FOR THE AGED"
T08CC3017C,"ST ANDREW'S MISSION HOSPITAL"
200105928G,"ST GABRIEL'S FOUNDATION"
201432348G,"ST JOHN'S, CAMBRIDGE (SINGAPORE)"
199904873Z,"ST LUKE'S ELDERCARE LTD."
199205095C,"ST LUKE'S HOSPITAL"
T01SS0118K,"St. Hilda's Community Services Centre"
S70SS0009L,"St. John Singapore"
S61SS0176G,"St. John's Home for Elderly Persons"
T04CC1798G,"STRATEGIC STUDIES FUND"
201503222G,"STROKE SUPPORT STATION LTD."
200201465K,"STUDENT ADVISORY CENTRE"
S93SS0060K,"SUN-DAC"
199202859C,"SUNLOVE ABODE FOR INTELLECTUALLY-INFIRMED LTD"
S88SS0104K,"Sunshine Welfare Action Mission (SWAMI)"
T08CC3019F,"SUPPORT FOR THE ARTS FUND"
T11CC0001F,"SymAsia Singapore Fund"
200818017E,"T.H.E DANCE COMPANY LTD."
T06CC1974E,"TABUNG AMAL AIDILFITRI TRUST FUND"
S80SS0149C,"Tai Pei Old People's Home"
S87CC0501H,"TAMAN JURONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S91SS0060L,"Tampines Arts Troupe"
T04CC1795H,"TAMPINES CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S92CC0892L,"TAMPINES CHANGKAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S89CC0709A,"TAMPINES EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T04CC1832C,"TAMPINES NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S92CC0903H,"TAMPINES WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
198200465N,"TAN KAH KEE FOUNDATION"
S86CC0364F,"TANJONG PAGAR-TIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200102735H,"TANOTO FOUNDATION"
201437089G,"TASEK JURONG LIMITED"
T05CC1885K,"TECK GHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T14CC0001K,"Teck Ghee Community Development, Welfare And Building Fund"
S87SS0001D,"Teen Challenge (Singapore)"
S85CC0267J,"TELOK BLANGAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
200909154Z,"TEMASEK FOUNDATION CARES CLG LIMITED"
201503610K,"TEMASEK FOUNDATION INNOVATES CLG LIMITED"
201108956W,"TEMASEK FOUNDATION NURTURES CLG LIMITED"
200201200K,"TEMASEK LIFE SCIENCES LABORATORY LIMITED"
T08CC3020C,"TEMASEK POLYTECHNIC GENERAL EDUCATION FUND"
200916397C,"TEMENGGONG ARTISTS-IN-RESIDENCE LTD."
T01SS0154B,"Tent, The"
200410925C,"TFA LALITA KALA COMPANY"
199403833N,"THE ARTS FISSION COMPANY LTD"
199504600N,"THE CHINESE OPERA INSTITUTE"
200817758M,"THE COMMUNITY FOUNDATION OF SINGAPORE"
201231446R,"THE COMMUNITY JUSTICE CENTRE LIMITED"
199205206G,"THE ESPLANADE CO LTD"
199905145W,"THE FINGER PLAYERS LTD"
201200654E,"THE FOOD BANK SINGAPORE LTD."
T14CC0003B,"The Friends of The University of Warwick in Singapore"
197701426D,"THE HOKKIEN FOUNDATION"
200910045N,"THE IRELAND FUNDS (SINGAPORE)"
T07CC2064L,"THE LAW SOCIETY OF SINGAPORE PRO BONO, LEARNING AND SUPPORT SERVICES"
T03CC1744D,"THE LIBRARY FUND"
199904358R,"THE MALAY HERITAGE FOUNDATION LTD"
200104750M,"THE NATIONAL KIDNEY FOUNDATION"
199202435N,"THE NECESSARY STAGE LTD"
201005410R,"THE PRIVATE MUSEUM LTD."
201616367W,"THE PURPLE PARADE LTD."
201113675E,"THE RED PENCIL (SINGAPORE)"
201408699H,"THE RICE COMPANY LIMITED"
201527668D,"THE SELECT CENTRE LTD."
195700160W,"THE SINGAPORE CHESHIRE HOME"
199002445Z,"THE SINGAPORE LYRIC OPERA LIMITED"
T14CC0002F,"The Stephen A. Schwarzman Scholars Trust"
T11CC0007D,"The Straits Times School Pocket Money Fund"
199506857R,"THE SUBSTATION LTD"
201502077Z,"THE TENG ENSEMBLE LTD."
198801755D,"THE THEATRE PRACTICE LTD."
200509963D,"THE WAN BOO SOW CHARITY FUND LIMITED"
199001149D,"THEATREWORKS (SINGAPORE) LTD."
200311661W,"THONG CHAI INSTITUTE OF MEDICAL RESEARCH"
T01SS0095E,"Thong Kheng Welfare Services Society"
T00SS0072B,"Thong Teck Home For Senior Citizens"
201130733N,"THYE HUA KWAN MORAL CHARITIES LIMITED"
201323219Z,"THYE HUA KWAN NURSING HOME LIMITED"
T07CC2029D,"TOA PAYOH CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T03CC1736B,"Toa Payoh East-Novena CCC Community Development and Welfare Fund"
T07CC2047L,"Toa Payoh West-Balestier CCC Community Development and Welfare Fund"
200104673R,"TOUCH COMMUNITY SERVICES LIMITED"
200208130H,"TRAILBLAZER FOUNDATION LTD."
S88SS0005D,"Trans Family Services"
S92SS0052C,"TRIATHLON ASSOCIATION OF SINGAPORE"
199507763G,"TRYBE LIMITED"
199302114W,"TSAO FOUNDATION"
201400920N,"TTSH COMMUNITY FUND"
S91SS0058G,"Turning Point, The"
S86CC0308D,"ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
199500567G,"VERY SPECIAL ARTS SINGAPORE LTD"
T01SS0059B,"Viriya Community Services"
T14CC0007H,"Vision 2030 Fund"
200601578E,"VIVA FOUNDATION FOR CHILDREN WITH CANCER"
S61SS0181K,"Volleyball Association of Singapore"
S99SS0038D,"Waterways Watch Society"
200506089N,"WE CARE COMMUNITY SERVICES LIMITED"
S99CC1352G,"WEST COAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S92CC0879F,"WHAMPOA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201602682H,"WHEELCHAIR RUGBY LIMITED"
S98SS0084G,"WICARE SUPPORT GROUP"
200100891D,"WILD RICE LTD"
200823204E,"WILDLIFE RESERVES SINGAPORE CONSERVATION FUND"
T08CC2118K,"WINGS Counselling Centre"
201129946W,"WOH HUP TRUST"
T01CC1489K,"WOODBRIDGE HOSPITAL CHARITY FUND"
T11CC0004E,"Woodgrove CCC CDWF"
S99SS0135G,"Woodlands Social Centre"
T08SS0214H,"WRESTLING FEDERATION OF SINGAPORE"
T06CC1999F,"WWFS CONSERVATION FUND"
T05SS0150E,"Xin Yuan Community Care"
198902633C,"YAYASAN MENDAKI"
T04CC1808H,"YELLOW RIBBON FUND (YRF)"
S97CC1249F,"YEW TEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S87CC0460G,"YIO CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S96SS0165G,"Yong-en Care Centre"
S61SS0045E,"Young Men's Christian Association of Singapore"
199900287D,"YOUNG PEOPLE'S PERFORMING ARTS ENSEMBLE LTD"
S61SS0075J,"Young Women's Christian Association of Singapore"
201300853G,"YOUTH GOLF NETWORK LTD."
S96SS0067H,"Youth Guidance Outreach Services"
T06CC1938B,"YUHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T04CC1763A,"ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T10CC0004L,"Zonta Singapore- Project Pari Fund"
T12SS0084A,"'DANCE.ACT.PLAY' PERFORMING ARTS SOCIETY FOR THE DISABLED"
201436550G,"21C GIRLS LTD."
T04CC1777A,"A DAY WITH MARY"
198700575Z,"A. O. ACTION LOVE LTD."
S85CC2085E,"ABDULLAH SALEH SHOOKER TRUST"
T13SS0122H,"Abundant Grace Presbyterian Church"
S89SS0054E,"Abundant Life Baptist Church"
S94SS0051F,"Abundant Life Bible-Presbyterian Church"
197700528D,"ABUNDANT LIFE FAMILY CHURCH LTD"
T11SS0118B,"ACADEMY OF ENGINEERING, SINGAPORE"
201112640R,"ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED"
201608445Z,"ACES CARE LIMITED"
200514169H,"ACS (INTERNATIONAL)"
S86SS0075G,"Acts Baptist Church"
T04SS0135C,"ADAM Association"
T12SS0060G,"ADAM ROAD PRESBYTERIAN CHURCH"
T07CC2017G,"ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
Not applicable,"Adullam Life Counselling"
S60SS0011A,"Adventist Community Services"
S84SS0017C,"Agape Baptist Church"
T00SS0010B,"Agape Christian Centre"
S86SS0023A,"Agape Community Church"
S91SS0045C,"Agape Counselling and Training Centre"
T06CC1926E,"AGAPE METHODIST CHURCH"
S97SS0009H,"Agape Vision Association"
S79SS0014D,"Aglow International (Singapore)"
200702751M,"AGORA@WESTCOASTPLAZA LTD."
S90CC0733J,"AHMADIYYA MUSLIM MISSION"
T07GS5625C,"AI TONG SCHOOL"
201017533Z,"AKARAKA LIMITED"
S87CC0507F,"ALDERSGATE METHODIST CHURCH"
T03SS0128C,"Alive Community Church"
198900203M,"ALL GOOD GIFTS LTD"
199907126R,"ALL SAINTS MEMORIAL CHAPEL (SINGAPORE) LTD"
T01SS0182C,"ALL SAINTS PRESBYTERIAN CHURCH"
T08CC4057C,"All Saints' Church"
T08CC4058K,"All Saints' Church (English Congregation)"
T03SS0059A,"AlphaSingapore"
T12SS0143J,"AMAZING GRACE PRESBYTERIAN CHURCH"
197300850D,"AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED"
S85CC0278K,"AMBER TRUST"
S85CC0279F,"AMBER TRUST RE: AMBER FUND"
S88SS0107J,"Amitabha Buddhist Centre"
S92SS0059H,"Amitabha Buddhist Society (Singapore)"
S95SS0151B,"Ananias Centre"
S85SS0065H,"Ang Chee Sia Ong Temple"
201229962D,"ANG CHIN MOH FOUNDATION"
S87CC0484A,"ANG MO KIO CHINESE METHODIST CHURCH"
S87CC0491G,"ANG MO KIO METHODIST CHURCH (TRAC)"
T12SS0071H,"ANG MO KIO PRESBYTERIAN CHURCH"
S87CC0497E,"ANG MO KIO TAMIL METHODIST CHURCH"
T07GS7101C,"ANGLICAN HIGH SCHOOL"
T07GS0803F,"ANGLO-CHINESE JUNIOR COLLEGE"
T07GS7032A,"ANGLO-CHINESE SCHOOL (BARKER ROAD)"
T07GS7001A,"ANGLO-CHINESE SCHOOL (INDEPENDENT)"
T07GS5001H,"ANGLO-CHINESE SCHOOL (JUNIOR)"
T07GS5638G,"ANGLO-CHINESE SCHOOL (PRIMARY)"
T03SS0149J,"Angora Brethren Chapel"
T02SS0040E,"Animal Lovers League"
S85SS0044B,"Ann Jin Kiong"
S84SS0084F,"Ann San Temple"
S95SS0015H,"Antioch Missions"
T05SS0095C,"Aoxiang Counselling Service"
201112356K,"ARC LEARNING ACADEMY LTD."
S69SS0005C,"ARCHERY ASSOCIATION OF SINGAPORE"
T07SS0078B,"ARK, THE"
T03CC1734K,"ARMENIAN APOSTOLIC CHURCH OF ST GREGORY THE ILLUMINATOR, TRUST, THE"
201307683K,"ARS NOVA COMPETITION LIMITED"
200311483R,"ART RETREAT LIMITED"
200413371D,"ARTS FOR US ALL (AFUA) LTD."
199500688W,"ARTS THEATRE OF SINGAPORE LTD"
201432448C,"ARTSWOK COLLABORATIVE LIMITED"
S75SS0033J,"Arulmigu Murugan Temple"
T00SS0127C,"Arulmigu Velmurugan Gnana Muneeswarar Temple"
S62SS0019A,"Arya Samaj Singapore"
201025962K,"ASEAN CSR NETWORK LTD."
201020535E,"ASHOKA : INNOVATORS FOR THE PUBLIC (SINGAPORE) LIMITED"
T02SS0019J,"Asia Aflame Network (Singapore)"
S92SS0012E,"ASIA BIBLICAL THEOLOGICAL SEMINARY OF CORNERSTONE UNIVERSITY"
200804347D,"ASIA CORNEA FOUNDATION"
S61SS0190H,"Asia Evangelistic Fellowship"
T01SS0003A,"Asia Pacific Hospice Palliative Care Network"
198301173C,"ASIA PACIFIC MISSION LTD"
201528607M,"ASIA PHILANTHROPY CIRCLE LTD."
S85SS0003H,"ASIA THEOLOGICAL CENTER"
S99SS0112J,"Asian Baptist Community Church"
201500327G,"ASIAN BUSINESS LAW INSTITUTE"
S90SS0058B,"Asian Christian Training Centre"
197100157K,"ASIAN MEDIA, INFORMATION AND COMMUNICATION CENTRE LIMITED"
201016116M,"ASIAN VENTURE PHILANTHROPY NETWORK LIMITED"
S70SS0021J,"Asian Women's Welfare Association"
T00SS0005K,"Assemblies of God Community Services Society"
S71SS0008J,"Assemblies of God of Singapore, The"
T03SS0174L,"Association for Breastfeeding Advocacy (Singapore)"
S90SS0014J,"Association of Bible-Believing Christians"
T07GS7002H,"ASSUMPTION ENGLISH SCHOOL"
S93SS0154B,"ASTHMA AND ALLERGY ASSOCIATION"
201412023G,"AT CAPITAL CHARITABLE FOUNDATION LIMITED"
201105101N,"AVANT THEATRE & LANGUAGE"
200920810R,"AVELIFE (LTD.)"
201620695W,"AWFUL GRACE LTD."
201132695K,"BABSEACLE SINGAPORE LTD."
S76SS0046G,"Bak Suah Siah Boo Temple"
T00SS0076H,"Ban Hock (Teng Ann Chi) Temple"
S89CC0707J,"BAN SEE SOON KONGSI"
T05SS0066F,"Bao Gong Temple"
197700038D,"BAPTIST FELLOWSHIP CHURCH LIMITED"
S87CC0534L,"BARKER ROAD METHODIST CHURCH"
197801655D,"BARTLEY CHRISTIAN CHURCH LTD."
S96SS0084H,"BAUHINIA BAPTIST CHURCH"
S89CC0663J,"BEDOK LUTHERAN CHURCH"
S87CC0532H,"BEDOK METHODIST CHURCH"
S94SS0047K,"Beeh Low See Temple"
S90CC0718A,"BEO SAN HOOD CHOR TEMPLE"
S97SS0060H,"Berean Bible- Presbyterian Church"
S87SS0013A,"Berean Christian Church"
T07SS0044C,"Berith Bible-Presbyterian Church"
S89SS0020F,"Bethany Christian Centre"
S88SS0045B,"Bethany Christian Fellowship"
T01SS0094J,"Bethany Church (Singapore)"
S89SS0030L,"Bethany Emmanuel Church"
S60SS0023J,"Bethany Evangelical Free Church"
S86SS0049J,"Bethany Independent-Presbyterian Church"
T12SS0103L,"BETHANY PRESBYTERIAN CHURCH"
T13SS0059D,"BETHANY PRESBYTERIAN CHURCH ENGLISH CONGREGATION"
S88SS0049H,"Bethany Trinity Presbyterian Church"
S70SS0013G,"Bethel Assembly of God Church"
T12SS0064B,"Bethel Presbyterian Church"
198402921M,"BETHESDA (BEDOK-TAMPINES) CHURCH LTD"
197302391E,"BETHESDA (FRANKEL ESTATE) CHURCH LIMITED"
195000088K,"BETHESDA (KATONG) CHURCH"
197902061E,"BETHESDA (SERANGOON) CHURCH LT D"
S92SS0099F,"Bethesda Cathedral"
197702882K,"BETHESDA CHAPEL LIMITED"
198105013H,"BETHESDA CHURCH BUKIT ARANG LTD"
S93SS0122F,"Bethesda Community"
S95SS0026J,"Bethesda Community Services Society"
T05SS0003K,"Bethesda Hall (Ang Mo Kio)"
198804406R,"BETHESDA PASIR-RIS MISSION CHURCH LTD"
S86SS0050F,"Bethlehem Bible-Presbyterian Church"
200722544Z,"BGR INTERNATIONAL"
S60SS0009H,"BIBLE CHURCH, SINGAPORE, THE"
S98SS0153J,"Bible Evangelism Church"
S70SS0023A,"Bible Society of Singapore, The"
S94SS0012D,"Bible Study Fellowship (Singapore)"
S73SS0030L,"Bible-Presbyterian Welfare Services, Singapore"
S90SS0045J,"BIBLICAL GRADUATE SCHOOL OF THEOLOGY"
201130578K,"BIRDLIFE INTERNATIONAL (ASIA) LIMITED"
200813317G,"BLC COMMUNITY SERVICES LTD."
T08SS0032L,"BLESS COMMUNITY SERVICES"
T08CC4050J,"Blessed Sacrament Church"
201304904N,"BLOSSOM SEEDS LIMITED"
S61SS0049L,"BLUE CROSS CHARITABLE INSTITUTION"
S70SS0033F,"BO TIEN TEMPLE"
T01SS0187E,"Bochasanwasi Shree Akshar Purushottam Swaminarayan Sanstha (Singapore)"
S82SS0046A,"Bodhi Association, The"
201334143M,"BOP HUB LTD."
201437049R,"BORDER MISSION LIMITED"
S78SS0038D,"Boscombe Life Church"
S97SS0166H,"BOWLS SINGAPORE"
S84CC0095A,"BOYS' TOWN, SINGAPORE"
S84CC0074F,"BRASH TRUST"
S98SS0016H,"Bread of Life (Singapore)"
S91SS0021J,"Breastfeeding Mothers' Support Group (Singapore)"
S99SS0097E,"BRIGHTON COMMUNITY CHURCH"
201202363R,"BRITISH COUNCIL (SINGAPORE) LIMITED"
S87SS0016L,"Buddha Dhamma Mandala Society"
S95SS0132K,"Buddha of Medicine Welfare Society"
T03SS0035G,"Buddha Tooth Relic Temple (Singapore)"
S92SS0077D,"Buddhist Enlightenment Haven"
T06SS0001A,"Buddhist Fo Yuan Lin Monastery, The"
T06SS0275B,"Buddhist Life Mission"
S81SS0026H,"Buddhist Research Society"
201611166R,"BUDDHIST TZU CHI MERIT ORGANIZATION (SINGAPORE) LTD."
S61SS0023C,"Buddhist Union, The"
S92SS0034G,"Budhi Meditation Buddhist Association"
S99SS0047B,"Budi Centre"
T11SS0182F,"BUDS THEATRE"
T12SS0242D,"BUKIT BATOK PRESBYTERIAN CHURCH"
S86CC0367E,"BUKIT PANJANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
198703252G,"BUKIT PANJANG GOSPEL CHAPEL LTD"
S87CC0482J,"BUKIT PANJANG METHODIST CHURCH"
S66SS0014H,"Bukit Timah Seu Teck Sean Tong"
201613180H,"BUKIT TIMAH SEU TECK SEAN TONG INSTITUTION LIMITED"
S78SS0011L,"BUKIT TIMAH TUA PEK KONG TEMPLE"
S85SS0007C,"Burmese Buddhist Temple"
T02SS0119L,"BW Monastery"
T00CC1457J,"CAIRNHILL METHODIST CHURCH"
200513050G,"CAKE THEATRICAL PRODUCTIONS LTD."
197901543W,"CALVARY ASSEMBLY OF GOD LTD."
S60SS0016C,"Calvary Baptist Church"
S86SS0051B,"Calvary Bible-Presbyterian Church"
S92SS0050L,"Calvary Chapel (Singapore) Living Water"
T03SS0125D,"Calvary Pandan Bible-Presbyterian Church"
T03SS0196B,"Calvary Tengah Bible-Presbyterian Church"
198101572C,"CAM SERVICES LTD"
201134707E,"CAMBRIDGE ASSESSMENT SINGAPORE"
T00FC5845D,"CAMBRIDGE UNIVERSITY PRESS"
S90SS0094E,"Cana Bible - Presbyterian Church"
T03CC1718F,"CANBERRA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201306807E,"CANCER WELLNESS LIMITED"
T07GS5003L,"CANOSSA CONVENT PRIMARY SCHOOL"
S87CC0500A,"CANOSSIAN SCHOOL"
201135738K,"CAPE OF COLOURS LTD."
200515736C,"CAPITALAND HOPE FOUNDATION"
S98SS0030J,"Care Assembly of God"
200407361W,"CARE CHANNELS INTERNATIONAL LTD."
S84SS0033G,"Care Community Church"
S95SS0134B,"Care for the Elderly Foundation (Singapore)"
T05SS0189F,"Caregivers' Association of the Mentally-ill (CAMI)"
T08CC2141J,"Caring for Cambodia Fund"
201715440W,"CARITAS HUMANITARIAN AID & RELIEF INITIATIVES (SINGAPORE) LTD."
T06CC2001K,"Caritas Singapore Agape Fund"
200613504D,"CARITAS SINGAPORE COMMUNITY COUNCIL LIMITED"
S96SS0038L,"Carlo Catholic Society"
201230606W,"CARMEL COMMUNITY SERVICES LTD."
S84SS0074A,"Carmel Presbyterian Church"
T08CC4024L,"Cathedral of the Good Shepherd"
T04SS0204E,"Catholic AIDS Response Effort"
201231391K,"CATHOLIC FOUNDATION LIMITED"
T07GS7102K,"CATHOLIC HIGH SCHOOL"
T07GS0802K,"CATHOLIC JUNIOR COLLEGE"
S95SS0036C,"Catholic Prayer Society"
T08CC4089K,"Catholic Spirituality Center"
200412861G,"CELEBRATE CHRISTMAS IN SINGAPORE LIMITED"
201512247H,"CENACLE MISSION (SINGAPORE) LTD."
198300183W,"CENTER FOR LIFE ENRICHMENT LTD"
S88SS0027F,"Central Christian Church"
T09CC0002F,"CENTRAL SIKH GURDWARA BOARD"
S83SS0001F,"Centre of Activity and Recreation for the Elders (CARE)"
S87SS0050L,"Centre of Hope Church"
S92SS0111L,"Centre of New Life"
200723118D,"CENTRE STAGE PRODUCTIONS LIMITED"
T02SS0154G,"Chan Xin Meditation Centre"
S87CC0415F,"CHANG TECK SEAN TONG"
201003883D,"CHANGE COMMUNITY SERVICES LIMITED"
S77SS0021L,"Changi Baptist Church"
T12SS0147D,"Changi Bethany Church"
T03SS0107H,"Changi Christian Fellowship"
S87CC0505C,"CHANGI METHODIST CHURCH"
T01SS0190E,"Channel Marker Evangelism Church"
S94SS0007A,"Chao Ying Kong Temple"
199506669C,"CHAR YONG (DABU) FOUNDATION LIMITED"
201412408N,"CHARACTER & LEADERSHIP ACADEMY LIMITED"
T00SS0185H,"Charis Centre"
S96SS0056G,"Charis Evangelical Free Church"
S88SS0042C,"Charis Full Gospel Centre"
S89CC0696A,"CHARIS METHODIST CHURCH"
S96SS0068D,"Charitable Assistance Society"
S87SS0017G,"Charn Mao Hern Kew Huang Keng"
S72SS0011C,"Chartered Institute of Logistics and Transport, Singapore, The"
197900126K,"CHAY SIAN TONG LIMITED"
T03SS0054K,"Chee Hia Kog Moral Society"
S93CC0969H,"CHEE HWAN KOG CHILDCARE CENTRE"
S66SS0044A,"Chee Hwan Kog, Singapore"
S80SS0014F,"Chee Seng Temple"
S93SS0010G,"Chee Tian Keng Temple"
S72SS0005D,"Chee Tong Temple"
S83SS0044C,"Chek Chai Long Chuen Temple"
S92SS0044A,"Chek Sian Tng"
T13SS0086J,"CHEN LI PRESBYTERIAN CHURCH"
194900051D,"CHEN SU LAN TRUST"
S99SS0003J,"Cheng Kak Si"
T06CC1946D,"CHENG TECK KEONG TEMPLE"
T00SS0028H,"Cheng Teck Sian See Buddhist Association"
S96SS0028F,"Cheo Bu Tong Temple"
S97SS0113F,"Cheo Teik Temple"
S75SS0012C,"CHEOW LENG BEO TEMPLE"
S93SS0068L,"Cher Lian Tong Buddhist Temple"
S60SS0006J,"Cherith Baptist Church"
S88SS0047E,"CHERN NAM KONG SIEW TEMPLE"
T04SS0015B,"Chettiars' Temple Society"
T06CC1995L,"CHEW HOW TECK FOUNDATION"
200721080W,"CHEW HUA SENG FOUNDATION LIMITED"
S90SS0004D,"Chi Hock Keng Temple"
S80SS0030K,"Chia Leng Kong Temple"
T07GS5637L,"CHIJ (KATONG) PRIMARY"
T07GS5005C,"CHIJ (KELLOCK)"
T07GS7008F,"CHIJ KATONG CONVENT"
T07GS5017L,"CHIJ OUR LADY OF GOOD COUNSEL"
T07GS5007F,"CHIJ OUR LADY OF THE NATIVITY"
T07GS5019C,"CHIJ OUR LADY QUEEN OF PEACE"
T07GS5004G,"CHIJ PRIMARY (TOA PAYOH)"
T07GS7004L,"CHIJ SECONDARY (TOA PAYOH)"
197700453M,"CHILD EVANGELISM FELLOWSHIP (SINGAPORE) LTD."
T02SS0006E,"Children of Mother Earth Society (Singapore)"
S85SS0042K,"Chin Fook Meow"
S99SS0091G,"Chin Khong Kow Poon Guan San Toh Tong"
S88CC0573G,"CHIN LIEN BIBLE SEMINARY"
S94SS0122L,"Chin Long Kong Temple"
S88CC0547J,"CHINESE ANNUAL CONFERENCE (PART OF METHODIST CHURCH IN SINGAPORE)"
S90CC0752A,"CHINESE ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE"
197901408G,"CHINESE CHRISTIAN MISSION LIMITED"
S71SS0015D,"Chinese Church Union (Singapore)"
T11SS0134F,"CHINESE CULTURAL ASSOCIATION"
S85CC0182D,"CHINESE KINDERGARTEN, THE"
S92SS0092A,"Chinese Opera Society (Singapore)"
199502067G,"CHINESE THEATRE CIRCLE LIMITED"
S97CC1289D,"CHOA CHU KANG BIBLE CENTRE KINDERGARTEN"
S98SS0158L,"Choa Chu Kang Yew Tee Chun Lian He Miow"
S85SS0057F,"Chong Ghee Temple"
T12SS0083E,"CHONG HOCK TONG"
S80SS0015B,"Chong Hua Tong Tou Teck Hwee"
T06CC1957E,"CHONG TOW KONG TEMPLE"
S84SS0024J,"Chong Yee Temple"
200414000R,"CHOU SING CHU FOUNDATION"
201325771N,"CHOW & CHOWS CHARITY LTD."
201526674R,"CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD."
201404167K,"CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD."
201003141H,"CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD."
S95SS0075E,"Chow Eng Chee of Toa Payoh (Singapore)"
201604228M,"CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED"
S70SS0015K,"Christ Church of Singapore"
T03SS0135J,"Christ for All Nations"
S90SS0075B,"Christ Grace Church"
S87CC0528A,"CHRIST METHODIST CHURCH"
S90SS0028J,"Christ Tabernacle"
T05CC1904J,"CHRISTALITE METHODIST CHAPEL"
198305429M,"CHRISTIAN AGAPE FELLOWSHIP LTD"
T00SS0152E,"Christian Broadcasting Network (Singapore)"
S90SS0037G,"CHRISTIAN COMMUNICATIONS (SINGAPORE)"
197802909D,"CHRISTIAN COMMUNITY CHAPEL LTD"
T03SS0043J,"Christian Community Church"
T12SS0078B,"CHRISTIAN COUNSELLING SERVICES"
200909045D,"CHRISTIAN COVENANT FELLOWSHIP LTD."
S87SS0095L,"Christian Disciples Church"
S93SS0032J,"Christian Ekklesia"
S76SS0041E,"Christian Gospel Mission"
197903636E,"CHRISTIAN GRACE PRESBYTERIAN CHURCH LTD"
S62SS0068H,"CHRISTIAN NATIONALS' EVANGELISM COMMISSION"
S94SS0074D,"Christian Outreach Centre"
S93SS0117C,"CHRISTIAN PAROUSIA FELLOWSHIP (SINGAPORE)"
T01SS0114D,"Christian Philadelphia Fellowship (Singapore)"
S95SS0029H,"Christian Renewal Mission"
S61SS0063A,"CHRISTIAN SCIENCE SOCIETY, SINGAPORE"
S78SS0057G,"Chu Sheng Temple"
S64SS0027B,"Chu Siang Tong"
